web-scraper-order,web-scraper-start-url,link,link-href,title,author,description,genres,isbn,location,cover,date
1613083652-2601,https://www.goodreads.com/list/show/13430.Silicon_Valley_History,Convergence Culture: Where Old and New Media Collide,https://www.goodreads.com/book/show/38860.Convergence_Culture,Convergence Culture: Where Old and New Media Collide,Henry Jenkins,null,Science,9780814742815,null,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1417984230l/38860.jpg,(first published 2006)
1613083565-2524,https://www.goodreads.com/list/show/13430.Silicon_Valley_History,Countdown to Zero Day: Stuxnet and the Launch of the World's First Digital Weapon,https://www.goodreads.com/book/show/18465875-countdown-to-zero-day,Countdown to Zero Day: Stuxnet and the Launch of the World's First Digital Weapon,Kim Zetter,null,Science,null,null,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1404960332l/18465875.jpg,(first published June 3rd 2014)
1613084345-3467,https://www.goodreads.com/list/show/13430.Silicon_Valley_History,Cyberwar: The Next Threat to National Security & What to Do About It,https://www.goodreads.com/book/show/7286217-cyberwar,Cyberwar: The Next Threat to National Security & What to Do About It,Richard A. Clarke,null,Science,9780061962233,null,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1267728945l/7286217.jpg,null
1613084189-3241,https://www.goodreads.com/list/show/13430.Silicon_Valley_History,Dealers of Lightning: Xerox PARC and the Dawn of the Computer Age,https://www.goodreads.com/book/show/1101290.Dealers_of_Lightning,Dealers of Lightning: Xerox PARC and the Dawn of the Computer Age,Michael A. Hiltzik,null,Computers,9780887309892,Palo Alto,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1349086333l/1101290.jpg,(first published March 1st 1999)
1613083865-2828,https://www.goodreads.com/list/show/13430.Silicon_Valley_History,Direct From Dell: Strategies That Revolutionized an Industry,https://www.goodreads.com/book/show/10416227-direct-from-dell,Direct From Dell: Strategies That Revolutionized an Industry,Michael Dell,null,Autobiography,null,null,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1429385800l/10416227.jpg,(first published February 17th 1999)
1613083958-2964,https://www.goodreads.com/list/show/13430.Silicon_Valley_History,Dogfight: How Apple and Google Went to War and Started a Revolution,https://www.goodreads.com/book/show/17332226-dogfight,Dogfight: How Apple and Google Went to War and Started a Revolution,Fred Vogelstein,null,Entrepreneurship,9780374109202,null,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1368362829l/17332226.jpg,(first published 2013)
1613083613-2568,https://www.goodreads.com/list/show/13430.Silicon_Valley_History,Fatal System Error: The Hunt for the New Crime Lords Who are Bringing Down the Internet,https://www.goodreads.com/book/show/7638558-fatal-system-error,Fatal System Error: The Hunt for the New Crime Lords Who are Bringing Down the Internet,Joseph Menn,null,Computers,null,null,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1442101084l/7638558._SY475_.jpg,(first published 2010)
1613084310-3414,https://www.goodreads.com/list/show/13430.Silicon_Valley_History,Fire in the Valley: The Making of the Personal Computer,https://www.goodreads.com/book/show/1427580.Fire_in_the_Valley,Fire in the Valley: The Making of the Personal Computer,Paul Freiberger,null,Hackers,9780071358927,null,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1387733026l/1427580.jpg,(first published 1984)
1613083620-2575,https://www.goodreads.com/list/show/13430.Silicon_Valley_History,Flight Capital: The Alarming Exodus of America's Best and Brightest,https://www.goodreads.com/book/show/550119.Flight_Capital,Flight Capital: The Alarming Exodus of America's Best and Brightest,David Heenan,null,,9780891062028,null,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1347659499l/550119.jpg,null
1613084293-3376,https://www.goodreads.com/list/show/13430.Silicon_Valley_History,Founders at Work: Stories of Startups' Early Days,https://www.goodreads.com/book/show/98233.Founders_at_Work,Founders at Work: Stories of Startups' Early Days,Jessica Livingston,null,Biography,9781590597149,null,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1439953323l/98233._SY475_.jpg,(first published 2001)
